E:\geetansh\python\college\pp_project>py -m cProfile main.py
         108188 function calls (104310 primitive calls) in 65.865 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2728(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:2746(Label)
        1    0.000    0.000    0.037    0.037 __init__.py:2748(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2768(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:2859(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:291(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:2962(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2967(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2972(Radiobutton)
        3    0.000    0.000    0.029    0.010 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:2999(Scale)
        2    0.003    0.002   21.191   10.596 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3032(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3076(Text)
        1    0.000    0.000    0.895    0.895 __init__.py:31(<module>)
       21    0.007    0.000    0.017    0.001 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        5    0.001    0.000    0.056    0.011 __init__.py:32(__load_extra_py_code_for_module)
        1    0.001    0.001    0.027    0.027 __init__.py:337(_sanity_check)
        3    0.000    0.000    3.328    1.109 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3433(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3444(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3481(Image)
        2    0.000    0.000    0.002    0.001 __init__.py:3484(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:3503(__str__)
        2    0.000    0.000    0.000    0.000 __init__.py:3504(__del__)
        1    0.000    0.000    0.000    0.000 __init__.py:3538(PhotoImage)
        2    0.000    0.000    0.002    0.001 __init__.py:3540(__init__)
